-0.224,-1.554,0.717
-0.201,-1.528,0.700
-0.168,-1.492,0.680
-0.122,-1.464,0.692
-0.068,-1.418,0.741
-0.024,-1.312,0.816
0.019,-1.231,0.901
0.063,-1.192,0.970
0.110,-1.145,1.001
0.134,-1.076,1.000
0.134,-1.021,0.951
0.126,-0.981,0.891
0.118,-0.907,0.871
0.096,-0.766,0.895
0.064,-0.606,0.921
0.055,-0.476,0.945
0.020,-0.363,0.972
0.018,-0.275,1.013
-0.001,-0.186,1.040
-0.016,-0.134,1.042
-0.029,-0.097,1.018
-0.046,-0.031,0.997
-0.056,0.006,0.986
-0.057,0.019,0.956
-0.050,0.041,0.939
-0.042,0.054,0.946
-0.032,0.030,0.938
-0.032,0.049,0.921
-0.057,0.151,0.924
-0.069,0.219,0.922
-0.065,0.247,0.922
-0.059,0.276,0.936
-0.051,0.310,0.985
-0.041,0.295,1.027
-0.022,0.248,1.065
-0.014,0.208,1.084
-0.011,0.188,1.080
-0.013,0.154,1.055
-0.008,0.154,1.036
-0.014,0.189,1.029
-0.015,0.212,1.025
-0.004,0.198,1.029
0.029,0.172,1.047
0.037,0.167,1.053
0.023,0.116,1.038
0.008,0.133,1.092
0.051,0.055,1.067
0.048,0.018,1.006
0.054,-0.027,0.986
0.032,-0.048,0.974
0.054,-0.040,0.964
0.051,-0.053,0.973
0.066,-0.089,0.957
0.066,-0.105,0.941
0.071,-0.102,0.935
0.073,-0.090,0.941
0.078,-0.097,0.943
0.084,-0.105,0.943
0.085,-0.104,0.945
0.083,-0.098,0.946
0.083,-0.094,0.947
0.085,-0.105,0.943
0.084,-0.111,0.940
0.081,-0.104,0.945
0.080,-0.107,0.943
0.078,-0.119,0.939
0.074,-0.120,0.944
0.070,-0.106,0.962
0.071,-0.109,0.984
0.072,-0.127,0.995
0.064,-0.110,1.000
0.059,-0.097,0.988
0.059,-0.104,0.990
0.062,-0.110,1.001
0.063,-0.118,1.002
0.067,-0.117,1.000
0.063,-0.100,1.000
0.063,-0.088,1.001
0.063,-0.091,0.993
0.063,-0.103,0.971
0.062,-0.104,0.974
0.059,-0.099,0.984
0.059,-0.107,0.986
0.063,-0.110,0.984
0.064,-0.110,0.982
0.064,-0.107,0.980
0.062,-0.104,0.978
0.066,-0.106,0.977
0.064,-0.100,0.976
0.063,-0.102,0.977
0.065,-0.108,0.973
0.063,-0.105,0.969
0.057,-0.096,0.966
0.073,-0.093,0.976
0.039,-0.095,0.981
0.068,-0.095,1.002
0.055,-0.095,1.000
0.055,-0.100,0.994
0.051,-0.104,0.990
0.047,-0.094,0.985
0.048,-0.093,0.995
0.045,-0.100,1.000
0.047,-0.102,1.003
0.046,-0.098,1.009
0.046,-0.098,1.012
0.045,-0.103,1.005
0.047,-0.104,1.000
0.045,-0.097,0.997
0.047,-0.096,0.995
