-0.078,-0.093,2.725
-0.150,-0.034,2.821
-0.227,0.029,2.823
-0.293,0.061,2.729
-0.356,0.087,2.578
-0.394,0.127,2.381
-0.391,0.135,2.133
-0.389,0.109,1.812
-0.329,0.023,1.518
-0.273,-0.036,1.289
-0.236,-0.059,1.050
-0.201,-0.043,0.808
-0.174,-0.063,0.577
-0.143,-0.068,0.344
-0.100,-0.089,0.124
-0.047,-0.138,-0.054
-0.017,-0.118,-0.172
0.010,-0.073,-0.253
0.025,-0.036,-0.342
0.047,-0.021,-0.441
0.068,-0.013,-0.502
0.098,-0.007,-0.512
0.117,0.039,-0.472
0.153,0.081,-0.416
0.168,0.123,-0.337
0.187,0.134,-0.273
0.194,0.148,-0.191
0.202,0.161,-0.110
0.211,0.150,-0.048
0.221,0.126,0.010
0.236,0.100,0.115
0.246,0.087,0.240
0.250,0.073,0.346
0.252,0.036,0.447
0.263,0.006,0.523
0.267,0.008,0.575
0.259,0.015,0.605
0.246,0.015,0.657
0.237,0.001,0.714
0.237,-0.016,0.767
0.231,-0.042,0.805
0.219,-0.052,0.840
0.214,-0.066,0.890
0.210,-0.083,0.949
0.190,-0.091,0.999
0.178,-0.082,1.017
0.168,-0.066,1.019
0.166,-0.081,1.005
0.167,-0.094,0.989
0.167,-0.089,0.980
0.176,-0.086,0.974
0.175,-0.069,0.960
0.179,-0.088,0.958
0.191,-0.116,0.956
0.193,-0.125,0.971
0.187,-0.114,0.995
0.174,-0.106,1.003
0.168,-0.106,1.000
0.162,-0.104,1.008
0.162,-0.119,1.042
0.161,-0.135,1.084
0.151,-0.148,1.111
0.133,-0.142,1.126
0.117,-0.136,1.133
0.099,-0.140,1.148
0.086,-0.124,1.170
0.077,-0.117,1.192
0.075,-0.116,1.216
0.078,-0.128,1.222
0.081,-0.157,1.204
0.078,-0.167,1.193
0.071,-0.166,1.194
0.070,-0.170,1.190
0.066,-0.165,1.193
0.064,-0.160,1.194
0.069,-0.167,1.200
0.068,-0.158,1.199
0.064,-0.152,1.193
0.062,-0.158,1.173
0.057,-0.162,1.164
0.051,-0.179,1.161
0.050,-0.189,1.158
0.044,-0.184,1.159
0.040,-0.181,1.147
0.043,-0.189,1.135
0.043,-0.211,1.122
0.039,-0.224,1.099
0.032,-0.213,1.089
0.030,-0.196,1.085
0.028,-0.189,1.085
0.024,-0.157,1.099
0.023,-0.150,1.118
0.028,-0.155,1.125
0.026,-0.160,1.109
0.027,-0.164,1.095
0.029,-0.171,1.063
0.027,-0.166,1.033
0.028,-0.168,1.007
0.037,-0.185,0.988
0.048,-0.197,0.979
0.048,-0.185,0.975
0.053,-0.181,0.955
0.059,-0.188,0.954
0.062,-0.196,0.960
0.063,-0.191,0.959
0.064,-0.187,0.961
0.061,-0.178,0.967
0.055,-0.164,0.955
0.051,-0.154,0.938
0.051,-0.172,0.931
0.056,-0.178,0.942
0.057,-0.176,0.949
0.060,-0.192,0.949
0.057,-0.186,0.949
0.050,-0.175,0.947
0.046,-0.171,0.944
0.044,-0.160,0.959
0.039,-0.166,0.976
0.039,-0.173,0.975

-0.162,-0.120,2.304
-0.209,-0.083,2.278
-0.242,-0.089,2.196
-0.263,-0.128,2.074
-0.258,-0.168,1.923
-0.252,-0.165,1.752
-0.223,-0.173,1.536
-0.194,-0.146,1.309
-0.159,-0.126,1.072
-0.122,-0.117,0.864
-0.086,-0.124,0.706
-0.047,-0.122,0.611
-0.020,-0.120,0.545
0.002,-0.108,0.466
0.019,-0.103,0.370
0.039,-0.082,0.282
0.050,-0.071,0.195
0.068,-0.087,0.100
0.088,-0.101,0.016
0.100,-0.096,-0.042
0.117,-0.073,-0.090
0.140,-0.065,-0.127
0.163,-0.053,-0.120
0.182,-0.025,-0.086
0.198,-0.007,-0.063
0.212,0.001,-0.071
0.223,0.016,-0.062
0.230,0.031,-0.042
0.235,0.056,-0.015
0.250,0.059,0.037
0.266,0.046,0.123
0.273,0.037,0.209
0.273,0.053,0.287
0.271,0.062,0.360
0.258,0.096,0.445
0.241,0.127,0.512
0.231,0.137,0.585
0.222,0.121,0.680
0.209,0.096,0.768
0.189,0.073,0.844
0.176,0.033,0.912
0.160,-0.009,0.971
0.147,-0.049,0.999
0.141,-0.093,1.006
0.125,-0.127,1.031
0.113,-0.146,1.055
0.109,-0.150,1.061
0.097,-0.148,1.045
0.100,-0.150,1.021
0.101,-0.153,1.022
0.101,-0.142,1.053
0.101,-0.140,1.073
0.099,-0.146,1.080
0.103,-0.148,1.081
0.103,-0.132,1.082
0.102,-0.132,1.074
0.093,-0.129,1.082
0.080,-0.111,1.106
0.077,-0.129,1.125
0.073,-0.146,1.146
0.061,-0.126,1.168
0.048,-0.097,1.167
0.045,-0.099,1.143
0.047,-0.114,1.130
0.042,-0.109,1.146
0.037,-0.121,1.166
0.035,-0.150,1.168
0.019,-0.152,1.158
0.004,-0.127,1.147
0.000,-0.129,1.145
0.006,-0.145,1.150
0.016,-0.154,1.158
0.019,-0.160,1.151
0.019,-0.173,1.123
0.017,-0.164,1.101
0.007,-0.149,1.100
-0.017,-0.121,1.106
-0.039,-0.102,1.102
-0.056,-0.098,1.107
-0.062,-0.092,1.131
-0.054,-0.098,1.163
-0.046,-0.110,1.188
-0.045,-0.102,1.198
-0.041,-0.101,1.186
-0.041,-0.105,1.167
-0.044,-0.118,1.142
-0.049,-0.121,1.124
-0.059,-0.123,1.103
-0.061,-0.134,1.072
-0.060,-0.128,1.056
-0.060,-0.130,1.047
-0.059,-0.124,1.045
-0.056,-0.118,1.049
-0.048,-0.126,1.041
-0.046,-0.122,1.045
-0.043,-0.126,1.047
-0.040,-0.121,1.050
-0.045,-0.124,1.037
-0.046,-0.131,1.005
-0.046,-0.127,0.980
-0.042,-0.136,0.956
-0.045,-0.132,0.940
-0.045,-0.121,0.935
-0.048,-0.111,0.931
-0.051,-0.096,0.934
-0.054,-0.074,0.961
-0.060,-0.065,0.979
-0.057,-0.069,0.998
-0.051,-0.082,1.017
-0.047,-0.094,1.023
-0.052,-0.093,1.012
-0.054,-0.097,0.997
-0.056,-0.101,0.971
-0.064,-0.083,0.954
-0.069,-0.061,0.944
-0.071,-0.053,0.931
-0.072,-0.066,0.937
-0.072,-0.071,0.955
-0.070,-0.086,0.976

-0.458,0.076,2.893
-0.514,0.251,3.545
-0.621,0.323,4.000
-0.676,0.217,4.000
-0.716,0.050,4.000
-0.797,0.033,3.596
-0.855,-0.003,2.940
-0.907,-0.058,2.444
-0.890,-0.138,2.034
-0.852,-0.257,1.648
-0.799,-0.364,1.219
-0.733,-0.455,0.755
-0.644,-0.503,0.294
-0.509,-0.465,-0.217
-0.436,-0.447,-0.583
-0.342,-0.374,-0.897
-0.212,-0.330,-1.107
-0.165,-0.238,-1.291
-0.069,-0.152,-1.359
-0.008,-0.113,-1.395
0.042,-0.071,-1.354
0.065,-0.037,-1.263
0.075,-0.009,-1.123
0.095,-0.004,-0.956
0.104,0.021,-0.771
0.098,0.077,-0.598
0.094,0.105,-0.450
0.104,0.091,-0.293
0.107,0.068,-0.125
0.103,0.085,0.056
0.100,0.111,0.236
0.107,0.110,0.406
0.133,0.100,0.577
0.150,0.086,0.737
0.157,0.080,0.878
0.169,0.095,1.000
0.162,0.099,1.076
0.167,0.095,1.128
0.174,0.082,1.150
0.175,0.049,1.158
0.173,0.028,1.168
0.158,0.027,1.171
0.142,0.034,1.173
0.131,0.005,1.177
0.130,-0.027,1.200
0.124,-0.056,1.216
0.111,-0.056,1.221
0.099,-0.067,1.201
0.095,-0.111,1.168
0.089,-0.141,1.140
0.077,-0.133,1.107
0.062,-0.123,1.082
0.052,-0.115,1.073
0.054,-0.133,1.044
0.050,-0.145,1.030
0.042,-0.121,1.029
0.035,-0.104,1.038
0.034,-0.104,1.058
0.030,-0.084,1.095
0.018,-0.089,1.118
0.026,-0.113,1.130
0.019,-0.106,1.153
0.004,-0.052,1.190
0.000,-0.056,1.204
0.006,-0.095,1.184
-0.001,-0.124,1.152
0.019,-0.107,1.128
-0.025,-0.091,1.090
-0.014,-0.098,1.089
-0.008,-0.127,1.087
-0.009,-0.112,1.097
-0.015,-0.094,1.133
-0.019,-0.084,1.167
-0.015,-0.095,1.174
-0.015,-0.112,1.161
-0.020,-0.105,1.148
-0.021,-0.101,1.125
-0.031,-0.090,1.091
-0.031,-0.080,1.083
-0.030,-0.097,1.081
-0.026,-0.133,1.072
-0.023,-0.143,1.054
-0.031,-0.137,1.047
-0.036,-0.138,1.032
-0.034,-0.143,1.013
-0.035,-0.123,1.016
-0.038,-0.109,1.037
-0.036,-0.120,1.035
-0.037,-0.129,1.021
-0.037,-0.129,1.010
-0.042,-0.135,0.992
-0.043,-0.135,0.972
-0.043,-0.130,0.970
-0.043,-0.133,0.972
-0.042,-0.136,0.984
-0.039,-0.133,1.003
-0.036,-0.130,1.005
-0.036,-0.130,0.992
-0.038,-0.123,0.977
-0.038,-0.115,0.969
-0.038,-0.113,0.976
-0.036,-0.110,0.992
-0.038,-0.100,1.006
-0.040,-0.104,1.007
-0.035,-0.119,0.996
-0.036,-0.120,0.994
