-0.016,1.941,1.051
0.051,2.293,1.090
0.062,2.570,1.113
0.078,2.629,1.098
0.016,2.535,1.008
-0.094,2.238,0.852
-0.285,1.746,0.648
-0.449,1.328,0.508
-0.574,1.023,0.434
-0.699,0.687,0.414
-0.820,0.344,0.480
-0.949,0.020,0.566
-1.062,-0.379,0.582
-1.152,-0.777,0.570
-1.219,-1.125,0.602
-1.281,-1.488,0.672
-1.316,-1.820,0.738
-1.332,-2.070,0.840
-1.285,-2.207,0.988
-1.230,-2.285,1.152
-1.164,-2.301,1.270
-1.070,-2.242,1.332
-0.973,-2.125,1.328
-0.898,-2.051,1.285
-0.840,-1.941,1.176
-0.777,-1.773,1.043
-0.699,-1.609,0.871
-0.609,-1.406,0.711
-0.512,-1.160,0.598
-0.410,-0.914,0.531
-0.383,-0.723,0.516
-0.340,-0.516,0.566
-0.281,-0.316,0.660
-0.227,-0.129,0.770
-0.184,-0.004,0.828
-0.148,0.055,0.793
-0.164,0.039,0.812
-0.113,0.012,0.680
-0.187,-0.043,0.766
-0.203,-0.012,0.867
-0.199,0.043,0.910
-0.187,0.070,0.934
-0.184,0.098,0.973
-0.184,0.125,1.031
-0.164,0.180,1.035
-0.172,0.219,0.937
-0.145,0.230,0.812
-0.121,0.250,0.750
-0.102,0.258,0.781
-0.109,0.238,0.836
-0.137,0.211,0.914
-0.141,0.207,1.039
-0.148,0.258,1.160
-0.176,0.289,1.211
-0.184,0.285,1.199
-0.160,0.297,1.148
-0.148,0.293,1.070
-0.145,0.316,1.016
-0.125,0.348,0.977
-0.102,0.352,0.957
-0.082,0.316,0.930
-0.082,0.270,0.902
-0.086,0.273,0.895
-0.082,0.281,0.910
-0.074,0.293,0.949
-0.078,0.301,1.004
-0.086,0.285,1.039
-0.090,0.297,1.070
-0.090,0.316,1.062
-0.094,0.312,1.020
-0.105,0.273,0.973
-0.098,0.258,0.953
-0.090,0.266,0.949
-0.086,0.238,0.953
-0.094,0.211,0.977
-0.090,0.203,0.984
-0.074,0.203,0.996
-0.059,0.199,1.027
-0.047,0.215,1.039
-0.105,0.168,1.039
-0.078,0.180,0.992
-0.066,0.191,0.941
-0.031,0.227,0.902
-0.066,0.191,0.906
-0.078,0.152,0.937
-0.055,0.137,0.937
-0.039,0.145,0.953
-0.039,0.141,0.988
-0.039,0.145,1.023
-0.039,0.137,1.016
-0.043,0.145,0.984
-0.039,0.148,0.965
-0.062,0.160,0.926
-0.020,0.168,0.922
-0.016,0.176,0.914
-0.078,0.152,0.980
-0.059,0.172,1.008
-0.027,0.187,0.996
-0.031,0.180,1.004
-0.055,0.152,1.020

0.105,1.895,0.902
0.078,2.020,0.906
-0.059,2.039,0.883
-0.156,1.937,0.891
-0.309,1.672,0.883
-0.434,1.312,0.844
-0.508,0.984,0.805
-0.605,0.672,0.773
-0.703,0.387,0.762
-0.762,0.184,0.770
-0.840,-0.070,0.770
-0.875,-0.262,0.676
-0.930,-0.520,0.598
-1.000,-0.844,0.512
-1.043,-1.180,0.484
-1.086,-1.512,0.516
-1.133,-1.812,0.598
-1.160,-2.090,0.723
-1.172,-2.277,0.898
-1.148,-2.383,1.102
-1.121,-2.387,1.242
-1.078,-2.352,1.340
-1.012,-2.250,1.328
-0.937,-2.059,1.242
-0.859,-1.828,1.137
-0.793,-1.586,1.004
-0.727,-1.312,0.848
-0.676,-1.016,0.676
-0.613,-0.746,0.574
-0.512,-0.504,0.555
-0.406,-0.309,0.598
-0.340,-0.164,0.648
-0.312,-0.078,0.715
-0.305,-0.031,0.738
-0.281,0.008,0.746
-0.270,0.059,0.785
-0.242,-0.023,0.723
-0.184,-0.059,0.715
-0.281,0.004,0.867
-0.250,0.027,0.867
-0.199,0.062,0.809
-0.199,0.113,0.781
-0.207,0.156,0.801
-0.191,0.152,0.859
-0.180,0.164,0.910
-0.187,0.199,0.957
-0.191,0.230,1.012
-0.187,0.242,1.051
-0.184,0.254,1.070
-0.191,0.258,1.059
-0.191,0.254,1.062
-0.199,0.258,1.062
-0.199,0.281,1.027
-0.172,0.305,1.008
-0.145,0.309,1.020
-0.133,0.312,1.043
-0.125,0.320,1.062
-0.121,0.309,1.051
-0.117,0.273,1.043
-0.129,0.238,1.039
-0.129,0.219,1.020
-0.141,0.199,0.992
-0.148,0.191,0.961
-0.141,0.203,0.953
-0.133,0.223,0.945
-0.129,0.246,0.953
-0.105,0.270,0.977
-0.098,0.293,1.012
-0.082,0.285,1.043
-0.078,0.270,1.051
-0.082,0.250,1.027
-0.094,0.238,0.980
-0.094,0.246,0.926
-0.082,0.250,0.891
-0.086,0.230,0.898
-0.070,0.230,0.926
-0.055,0.242,0.949
-0.043,0.250,0.977
-0.043,0.234,0.988
-0.043,0.211,0.988
-0.043,0.195,0.977
-0.051,0.164,0.961
-0.066,0.141,0.961
-0.062,0.156,0.984
-0.059,0.160,0.992
-0.055,0.148,0.996
-0.051,0.156,0.992
-0.039,0.180,0.992
-0.031,0.180,0.980
-0.039,0.156,0.965
-0.102,0.145,0.965
-0.031,0.133,0.941
-0.031,0.109,0.937
-0.070,0.090,1.020
-0.078,0.098,1.062
-0.059,0.105,1.055
-0.051,0.109,1.020
-0.062,0.094,1.020
-0.059,0.090,0.992
-0.047,0.102,0.977

0.094,1.668,0.820
0.039,1.785,0.762
-0.043,1.801,0.723
-0.160,1.641,0.684
-0.270,1.375,0.687
-0.352,1.148,0.754
-0.457,0.934,0.836
-0.559,0.734,0.941
-0.645,0.535,1.047
-0.707,0.344,1.098
-0.793,0.074,1.055
-0.852,-0.242,0.941
-0.871,-0.496,0.832
-0.887,-0.742,0.766
-0.898,-0.984,0.707
-0.898,-1.195,0.723
-0.898,-1.352,0.738
-0.902,-1.484,0.762
-0.910,-1.594,0.809
-0.918,-1.707,0.859
-0.906,-1.781,0.953
-0.887,-1.801,1.035
-0.848,-1.781,1.094
-0.805,-1.730,1.094
-0.750,-1.645,1.059
-0.684,-1.523,0.973
-0.633,-1.391,0.883
-0.586,-1.250,0.785
-0.520,-1.090,0.699
-0.480,-0.898,0.637
-0.441,-0.727,0.609
-0.414,-0.578,0.617
-0.367,-0.437,0.684
-0.355,-0.316,0.766
-0.297,-0.199,0.770
-0.293,-0.145,0.867
-0.293,-0.086,0.902
-0.281,-0.066,0.836
-0.234,-0.066,0.770
-0.238,-0.090,0.777
-0.270,-0.074,0.840
-0.246,-0.051,0.879
-0.223,-0.016,0.895
-0.203,0.004,0.930
-0.207,0.023,0.941
-0.199,0.051,0.945
-0.184,0.066,0.941
-0.180,0.109,0.941
-0.176,0.141,0.937
-0.168,0.133,0.934
-0.160,0.121,0.937
-0.168,0.121,0.934
-0.164,0.148,0.914
-0.156,0.187,0.898
-0.152,0.219,0.930
-0.145,0.254,0.977
-0.141,0.289,1.031
-0.141,0.320,1.059
-0.133,0.340,1.035
-0.121,0.328,1.016
-0.125,0.305,0.984
-0.125,0.270,0.961
-0.133,0.246,0.945
-0.137,0.246,0.945
-0.137,0.246,0.973
-0.137,0.250,0.996
-0.129,0.277,1.012
-0.105,0.305,1.016
-0.094,0.320,1.000
-0.082,0.312,0.973
-0.078,0.320,0.965
-0.082,0.293,0.957
-0.086,0.266,0.945
-0.094,0.254,0.930
-0.102,0.262,0.941
-0.102,0.266,0.969
-0.094,0.277,1.004
-0.090,0.266,1.031
-0.094,0.242,1.051
-0.094,0.223,1.043
-0.086,0.227,1.031
-0.090,0.219,1.004
-0.086,0.199,0.973
-0.086,0.191,0.953
-0.082,0.195,0.937
-0.074,0.191,0.941
-0.070,0.184,0.965
-0.062,0.191,1.004
